date,country,alpha_iet,xmin_iet,n_events_window,mean_wait_months
2010-05-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-06-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-07-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-08-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-09-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-10-01,COL,2.1201689930322836,2.0039421813403417,6,5.992115637319316
2010-11-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2010-12-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-01-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-02-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-03-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-04-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-05-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-06-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-07-01,COL,2.0695297744128984,2.0039421813403417,7,6.000876040297853
2011-08-01,COL,2.895188264891144,4.993429697766097,8,6.424816970152055
2011-09-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2011-10-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2011-11-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2011-12-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2012-01-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2012-02-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2012-03-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2012-04-01,COL,2.895188264891144,4.993429697766097,9,5.7490144546649145
2012-05-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-06-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-07-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-08-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-09-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-10-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-11-01,COL,2.9381428684955933,4.993429697766097,10,5.997225872390129
2012-12-01,COL,2.9381428684955933,4.993429697766097,9,6.496386333771353
2013-01-01,COL,2.9381428684955933,4.993429697766097,9,6.496386333771353
2013-02-01,COL,1.6846700490301272,0.9855453350854139,8,6.7110944246292465
2013-03-01,COL,1.6846700490301272,0.9855453350854139,8,6.7110944246292465
2013-04-01,COL,1.6846700490301272,0.9855453350854139,8,6.7110944246292465
2013-05-01,COL,2.9995762272665694,6.044678055190539,9,7.371057818659658
2013-06-01,COL,2.9995762272665694,6.044678055190539,9,7.371057818659658
2013-07-01,COL,2.9995762272665694,6.044678055190539,8,7.992303360240285
2013-08-01,COL,2.9995762272665694,6.044678055190539,8,7.992303360240285
2013-09-01,COL,2.9995762272665694,6.044678055190539,8,7.992303360240285
2013-10-01,COL,2.9995762272665694,6.044678055190539,7,9.160096364432762
2013-11-01,COL,1.5895240956204604,1.0183968462549278,6,7.201051248357423
2013-12-01,COL,1.5895240956204604,1.0183968462549278,6,7.201051248357423
2014-01-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-02-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-03-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-04-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-05-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-06-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-07-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-08-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-09-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-10-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-11-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2014-12-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-01-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-02-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-03-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-04-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-05-01,COL,1.5687910851172857,1.0183968462549278,7,7.342312746386333
2015-06-01,COL,1.5702723858962793,1.0183968462549278,6,7.601839684625491
