date,type,src,dst,weight
2010-10-01,corr,BRA,PAN,0.9244020424493654
2010-10-01,corr,BRA,PER,0.8693717402092256
2010-10-01,corr,BRA,SLV,0.7768565384986108
2010-10-01,corr,BRA,URY,0.8306947995675913
2010-10-01,corr,CHL,COL,0.5449793207898632
2010-10-01,corr,CHL,DOM,0.5608540529537414
2010-10-01,corr,CHL,ECU,0.5338683614937453
2010-10-01,corr,CHL,MEX,0.4741876878373456
2010-10-01,corr,CHL,PAN,0.4616032520895614
2010-10-01,corr,CHL,PER,0.47241930182469233
2010-10-01,corr,CHL,SLV,0.5473418117903734
2010-10-01,corr,CHL,URY,0.7157889674158523
2010-10-01,corr,COL,DOM,0.8254399180108043
2010-10-01,corr,COL,ECU,0.5121732363641812
2010-10-01,corr,COL,MEX,0.891524984104927
2010-10-01,corr,COL,PAN,0.944111057988153
2010-10-01,corr,COL,PER,0.9386444746045663
2010-10-01,corr,COL,SLV,0.8188342230131003
2010-10-01,corr,COL,URY,0.8763571761367864
2010-10-01,corr,DOM,ECU,0.6827988105274003
2010-10-01,corr,DOM,MEX,0.6668521228964638
2010-10-01,corr,DOM,PAN,0.8603173360020456
2010-10-01,corr,DOM,PER,0.8793168531730065
2010-10-01,corr,DOM,SLV,0.9633524374937513
2010-10-01,corr,DOM,URY,0.8923438158522359
2010-10-01,corr,ECU,MEX,0.4125522401086529
2010-10-01,corr,ECU,PAN,0.6276687596849414
2010-10-01,corr,ECU,PER,0.631860233619074
2010-10-01,corr,ECU,SLV,0.706345487393557
2010-10-01,corr,ECU,URY,0.591693282793396
2010-10-01,corr,MEX,PAN,0.8850148378907752
2010-10-01,corr,MEX,PER,0.7983650024169799
2010-10-01,corr,MEX,SLV,0.7437150797264998
2010-10-01,corr,MEX,URY,0.7441026509969866
2010-10-01,corr,PAN,PER,0.9594850519363398
2010-10-01,corr,PAN,SLV,0.8878457068341268
2010-10-01,corr,PAN,URY,0.84541369426547
2010-10-01,corr,PER,SLV,0.8822718725307153
2010-10-01,corr,PER,URY,0.8718404177787715
2010-10-01,corr,SLV,URY,0.884773515548675
2010-10-01,partial,ARG,BRA,0.5131333570653728
2010-10-01,partial,ARG,CHL,0.5193983354694882
2010-10-01,partial,ARG,COL,0.508546646145793
2010-10-01,partial,ARG,MEX,0.5136729264690381
2010-10-01,partial,ARG,PAN,0.5447851123906817
2010-10-01,partial,ARG,PER,0.5881379625222959
2010-10-01,partial,BRA,CHL,0.9329120093808645
2010-10-01,partial,BRA,COL,0.9736478647431399
2010-10-01,partial,BRA,DOM,0.5991341368139053
2010-10-01,partial,BRA,ECU,0.9147753049184528
2010-10-01,partial,BRA,MEX,0.9881612403416487
2010-10-01,partial,BRA,PAN,0.9768639047419249
2010-10-01,partial,BRA,PER,0.9662289262682315
2010-10-01,partial,BRA,SLV,0.6593492666063531
2010-10-01,partial,BRA,URY,0.7296019069731685
2010-10-01,partial,CHL,COL,0.873130904867577
2010-10-01,partial,CHL,DOM,0.6516164084735487
2010-10-01,partial,CHL,ECU,0.8187157280293027
2010-10-01,partial,CHL,MEX,0.9064687700832512
2010-10-01,partial,CHL,PAN,0.8503586676807322
